# DTStamp_FHdata_calc_t_look (time_lookahead_length) 2023-10-05 03:12:26 976880812 
# rtime[1], u[2], u_next[3], accn_csv_t[4], curr_accn_t[5], max_jerk[6], curr_frate[7], profile[8], t_look[9] eps[10] rho[11] min_tang_accn[12] max_tang_accn[13] 
    0.000000  0.000000000  0.000040287          nan  0.000000000 200.000000000  0.000000000   0     0.000000  0.000000086077794    79.000000         -nan         -nan 
    0.001000  0.000040287  0.000040287 30.000000961 30.000000961 200.000000000  0.030234675   0     0.363553  0.000000086081263    79.000000   -30.000001    30.000001 
    0.002000  0.000080575  0.000040287 30.000003845  1.484333146 200.000000000  0.031719008   0     0.034708  0.000000086084732    79.000000   -30.000004    30.000004 
    0.003000  0.000120862  0.000040287 30.000008650  1.547485878 200.000000000  0.033266494   0     0.035756  0.000000086088201    79.000000   -30.000009    30.000009 
    0.004000  0.000161149  0.000040287 30.000015378  1.612795549 200.000000000  0.034879290   0     0.036833  0.000000086091671    79.000000   -30.000015    30.000015 
    0.005000  0.000201436  0.000040287 30.000024029  1.680309498 200.000000000  0.036559599   0     0.037937  0.000000086095142    79.000000   -30.000024    30.000024 
    0.006000  0.000241724  0.000040287 30.000034601  1.750074894 200.000000000  0.038309674   0     0.039071  0.000000086098613    79.000000   -30.000035    30.000035 
    0.007000  0.000282011  0.000040287 30.000047096  1.822138671 200.000000000  0.040131813   0     0.040234  0.000000086102085    79.000000   -30.000047    30.000047 
    0.008000  0.000322298  0.000040287 30.000061513  1.896547470 200.000000000  0.042028360   0     0.041427  0.000000086105557    79.000000   -30.000062    30.000062 
    0.009000  0.000362586  0.000040287 30.000077853  1.973347561 200.000000000  0.044001708   0     0.042650  0.000000086109030    79.000000   -30.000078    30.000078 
    0.010000  0.000402873  0.000040287 30.000096114  2.052584792 200.000000000  0.046054293   0     0.043904  0.000000086112503    79.000000   -30.000096    30.000096 
    0.011000  0.000443160  0.000040287 30.000116298  2.134304510 200.000000000  0.048188597   0     0.045190  0.000000086115977    79.000000   -30.000116    30.000116 
    0.012000  0.000483447  0.000040287 30.000138405  2.218551483 200.000000000  0.050407149   0     0.046508  0.000000086119451    79.000000   -30.000138    30.000138 
    0.013000  0.000523735  0.000040287 30.000162434  2.305369861 200.000000000  0.052712518   0     0.047858  0.000000086122926    79.000000   -30.000162    30.000162 
    0.014000  0.000564022  0.000040287 30.000188385  2.394803055 200.000000000  0.055107321   0     0.049242  0.000000086126402    79.000000   -30.000188    30.000188 
    0.015000  0.000604309  0.000040287 30.000216258  2.486893720 200.000000000  0.057594215   0     0.050659  0.000000086129878    79.000000   -30.000216    30.000216 
    0.016000  0.000644597  0.000040287 30.000246054  2.581683625 200.000000000  0.060175899   0     0.052110  0.000000086133355    79.000000   -30.000246    30.000246 
    0.017000  0.000684884  0.000040287 30.000277772  2.679213618 200.000000000  0.062855112   0     0.053596  0.000000086136832    79.000000   -30.000278    30.000278 
