## PERFORMANCE 1 CEE Chord-Error-Efficiency							
## chord-error/chord-length	chord-error/chord-length	chord-error/chord-length	chord-error/chord-length	chord-error/chord-length	chord-error/chord-length	chord-error/chord-length
##		Lamda 0.18	Lamda 0.19	Lamda 0.20	Lamda 0.21	Lamda 0.22	Lamda 0.23	Lamda 0.24
##
	Curve Type	            FC10				FC20				FC30				FC40				MINIMUM				MAXIMUM				AVERAGE
##					
	Circle			2.203789163406E-06	4.407213023407E-06	6.610271383220E-06	8.812956271960E-06	2.203789163406E-06	8.812956271960E-06	5.508557460498E-06
	Ellipse			1.386987988559E-05	2.387508767166E-05	3.042915776933E-05	3.399976598039E-05	1.386987988559E-05	3.399976598039E-05	2.554347282674E-05
	Teardrop		5.705012452441E-05	7.011661778683E-05	7.202851879506E-05	7.202932786929E-05	5.705012452441E-05	7.202932786929E-05	6.780614724390E-05
	Butterfly		5.445092899523E-06	9.925041122094E-06	1.361121273884E-05	1.643334424114E-05	5.445092899523E-06	1.643334424114E-05	1.135367275040E-05
	Snailshell		3.691654413053E-05	4.524898511695E-05	4.881992306637E-05	5.085042486059E-05	3.691654413053E-05	5.085042486059E-05	4.545896929361E-05
	Skewed-Astroid	1.158518631091E-06	2.316710975042E-06	3.474576811966E-06	4.632116113725E-06	1.158518631091E-06	4.632116113725E-06	2.895480632956E-06
	Ribbon-10L		4.820054776519E-04	4.819406921788E-04	4.818512589475E-04	4.818661991448E-04	4.818512589475E-04	4.820054776519E-04	4.819159069808E-04
	Ribbon-100L		4.751833890898E-05	4.822057586226E-05	4.821346349097E-05	4.820475130965E-05	4.751833890898E-05	4.822057586226E-05	4.803928239297E-05
	AstEpi			1.971493430212E-06	3.851719659103E-06	5.606883043752E-06	7.299193359018E-06	1.971493430212E-06	7.299193359018E-06	4.682322373021E-06
	SnaHyp			5.943528031539E-06	8.356965006276E-06	9.309385400583E-06	9.812009964860E-06	5.943528031539E-06	9.812009964860E-06	8.355472100815E-06
##								
##	MINIMUM	1.158518631091E-06	2.316710975042E-06	3.474576811966E-06	4.632116113725E-06	1.158518631091E-06	4.632116113725E-06	2.895480632956E-06
##	MAXIMUM	4.820054776519E-04	4.819406921788E-04	4.818512589475E-04	4.818661991448E-04	4.818512589475E-04	4.820054776519E-04	4.819159069808E-04
##	AVERAGE	6.540827872572E-05	6.982596084024E-05	7.199546514476E-05	7.339400891154E-05	6.539285685528E-05	7.340951921751E-05	7.015592840557E-05

