## OVERALL PCNT DIFF (SAL-SCL)				
				
## Description	PcntDiff (SAL-SCL)	PcntDiff (SAL-SCL)	PcntDiff (SAL-SCL)	PcntDiff (SAL-SCL)
## Lamda Acceleration Safety Factor	0.18	0.18	0.18	0.18
## Feedrate Command (mm/s)	FC10	FC20	FC30	FC40

## Curve Type				
Circle	6.652574786747E-08	2.669675295946E-07	6.006449648363E-07	1.067683029848E-06
Ellipse	4.533921870933E-07	1.654645936542E-06	3.196048378596E-06	4.984962783667E-06
Teardrop	8.931942058845E-07	7.664163788301E-07	-2.921101261067E-06	3.552050367760E-06
Butterfly	4.159710526812E-05	5.237880543932E-05	6.611735799000E-05	7.806770650153E-05
Snailshell	9.396425943836E-03	1.512841599395E-02	1.829675338949E-02	2.018340196899E-02
Skewed-Astroid	6.163739390653E+01	6.163758077028E+01	6.163776660469E+01	6.163795140613E+01
Ribbon-10L	-2.999999941577E+02	-2.999999919218E+02	-3.000000205782E+02	-3.000000035623E+02
Ribbon-100L	-2.999999927099E+02	-2.999999893265E+02	-2.999999955199E+02	-3.000000209086E+02
AstEpi	4.410754359858E+01	4.410822100426E+01	4.410846810274E+01	4.411017113009E+01
SnaHyp	-2.673376648446E+01	-2.673289365118E+01	-2.673239467770E+01	-2.673223641934E+01


