## OVERALL SUM-ARC-AREA (SAA)							
							
## Description	Sum-Arc-Area	Sum-Arc-Area	Sum-Arc-Area	Sum-Arc-Area	MINIMUM	MAXIMUM	AVERAGE
## Lamda Acceleration Safety Factor	0.18	0.18	0.18	0.18			
## Feedrate Command (mm/s)	FC10	FC20	FC30	FC40		 	 
##
Curve Type							
Circle			5.235292684461E-05	2.093803820914E-04	4.710353817982E-04	8.373046676549E-04	
Ellipse			5.185017589366E-05	1.275076043292E-04	1.849039783361E-04	2.200267776119E-04	
Teardrop		3.822127588087E-05	6.182290957317E-05	6.781012634326E-05	6.777759239889E-05	
Butterfly		1.758667624644E-04	6.462621773264E-04	1.298932073590E-03	2.003665777961E-03	
Snailshell		1.070830851582E-04	3.068808285119E-04	5.164360050036E-04	7.283849492346E-04	
Skewed-Astroid	4.343191363991E-05	1.736583480748E-04	3.905753943512E-04	6.940792041172E-04	
Ribbon-10L		1.338515095667E-06	1.338121185915E-06	1.338217831316E-06	1.337920946871E-06	
Ribbon-100L		1.265139232664E-04	1.339597112819E-04	1.339309239988E-04	1.339343540720E-04	
AstEpi			2.898515736808E-04	6.811935608835E-04	9.367445601128E-04	1.255001527807E-03	
SnaHyp			2.706870610425E-01	2.760007501922E-01	2.777614243305E-01	2.754368695310E-01	




