## LATEX TABLE				
## DATA FOR HISTO
		
## OVERALL SUM-ARC-LENGTH				
				
## Description	Sum-Arc-Length	Sum-Arc-Length	Sum-Arc-Length	Sum-Arc-Length
## Lamda Acceleration Safety Factor	0.18	0.18	0.18	0.18
## Feedrate Command (mm/s)	FC10	FC20	FC30	FC40
##
Curve Type				FC10             FC20               FC30                 FC40
Circle			4.963785816452E+02	4.963771594934E+02	4.963757335444E+02	4.963942987341E+02
Ellipse			2.156436635306E+02	2.156499394203E+02	2.156478495089E+02	2.156438658943E+02
Teardrop		1.018356741269E+02	1.018418663504E+02	1.018595636256E+02	1.018355644559E+02
Butterfly		3.560748506870E+02	3.560738974072E+02	3.560730284349E+02	3.560734306512E+02
Snailshell		1.385725614787E+02	1.385823558880E+02	1.385855208343E+02	1.385878579474E+02
Skewed-Astroid	1.161845691077E+03	1.161851349542E+03	1.161856975395E+03	1.161862568638E+03
Ribbon-10L		3.802699021307E+00	3.802672335504E+00	3.803478267930E+00	3.802978777888E+00
Ribbon-100L		3.802433940498E+01	3.802572368417E+01	3.802757758292E+01	3.803483632374E+01
AstEpi			7.626471894183E+02	7.626564180797E+02	7.626597716718E+02	7.626830175974E+02
SnaHyp			3.779474877648E+02	3.779592539969E+02	0.000000000000E+00	0.000000000000E+00
## 
## Y-RANGE [0.0 : 2.5E+3]



