## FOR HISTOGRAM
## Histo-Overrall-Sum-Chord-Error-Data
## 
CurveType          FC10                FC20               FC30                FC40
Circle			1.093913738449E-03	2.187639876000E-03	3.281178287065E-03	4.374701201686E-03
Ellipse			2.990951697698E-03	5.148661124856E-03	6.561982225601E-03	7.331840610025E-03
Teardrop		5.809737838076E-03	7.140807162860E-03	7.336793707381E-03	7.335147000398E-03
Butterfly		1.938859834664E-03	3.534046223178E-03	4.846582536157E-03	5.851472692902E-03
Snailshell		5.115139395656E-03	6.269762299809E-03	6.764496555494E-03	7.045829082053E-03
Skewed-Astroid	5.163683043374E-04	1.032591177038E-03	1.548668518105E-03	2.064600313211E-03
Ribbon-10L		7.331686925442E-03	7.330650001960E-03	7.330843544266E-03	7.330107781796E-03
Ribbon-100L		7.227413654822E-03	7.334488978808E-03	7.333764811636E-03	7.333839687707E-03
AstEpi			8.403732211685E-04	1.641842648547E-03	2.390002467065E-03	3.111370462905E-03
SnaHyp			2.846873175820E-03	4.002975369043E-03	0.000000000000E-00	0.000000000000E+00
## =======================

