
## FOR-HISTOGRAM GNUPLOT


## OVERALL SUM-CHORD-LENGTH	(SCL)			
				
## Description	                    Sum-Chord-Length	Sum-Chord-Length	Sum-Chord-Length	Sum-Chord-Length
## Lamda Acceleration Safety Factor	0.18	             0.18	            0.18	            0.18
## Feedrate Command (mm/s)	        FC10	            FC20	            FC30	            FC40

Curve Type	         FC10                FC20               FC30                FC40			
Circle			4.963785813150E+02	4.963771581682E+02	4.963757305630E+02	4.963942934342E+02
Ellipse			2.156436625529E+02	2.156499358521E+02	2.156478426167E+02	2.156438551446E+02
Teardrop		1.018356732173E+02	1.018418655699E+02	1.018595666011E+02	1.018355608386E+02
Butterfly		3.560747025702E+02	3.560737108999E+02	3.560727930088E+02	3.560731526728E+02
Snailshell		1.385595406106E+02	1.385613905727E+02	1.385601641834E+02	1.385598862029E+02
Skewed-Astroid	4.457142858819E+02	4.457142855374E+02	4.457142846207E+02	4.457142831748E+02
Ribbon-10L		1.521079586306E+01	1.521068903483E+01	1.521391385441E+01	1.521191524702E+01
Ribbon-100L		1.520973548479E+02	1.521028906780E+02	1.521103086280E+02	1.521393532475E+02
AstEpi			4.262622478423E+02	4.262622396899E+02	4.262622295515E+02	4.262622333550E+02
SnaHyp			4.789870865777E+02	4.789986994127E+02	0.000000000000E+00	0.000000000000E+00

## Y-RANGE [0 : 520 ]

