# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-10-14 11:43:18 76307464 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000094261  0.948683298  0.316227766  0.000000000000000000 -31.622776602   0.000000000  31.622776602  0.000000471227988   106.066017  0.000000000000000 
     1     0.001000  0.000094261  0.000094297  0.948665409  0.316281429  0.000000000000000000 -31.623372924  31.623372924  31.623372924  0.000000471627854   105.976067 31.623372923773477 
     2     0.002000  0.000188558  0.000094332  0.948647504  0.316335129  0.000000000000000000 -31.623969797  10.232006055  31.623969797  0.000000472028272   105.886146 10.232006054817486 
     3     0.003000  0.000282890  0.000094368  0.948629582  0.316388867  0.000000000000000000 -31.624567222  11.260636581  31.624567222  0.000000472429245   105.796252 11.260636580623414 
     4     0.004000  0.000377257  0.000094403  0.948611646  0.316442643  0.000000000000000000 -31.625165200  12.370840843  31.625165200  0.000000472830773   105.706387 12.370840843214173 
     5     0.005000  0.000471661  0.000094439  0.948593693  0.316496456  0.000000000000000000 -31.625763732  13.566558410  31.625763732  0.000000473232857   105.616551 13.566558409876182 
     6     0.006000  0.000566100  0.000094475  0.948575724  0.316550306  0.000000000000000000 -31.626362818  14.851650895  31.626362818  0.000000473635498   105.526742 14.851650895145008 
     7     0.007000  0.000660575  0.000094510  0.948557739  0.316604194  0.000000000000000000 -31.626962459  16.229869989  31.626962459  0.000000474038698   105.436962 16.229869989216937 
     8     0.008000  0.000755085  0.000094546  0.948539738  0.316658120  0.000000000000000000 -31.627562657  17.704824114  31.627562657  0.000000474442457   105.347211 17.704824114176120 
     9     0.009000  0.000849631  0.000094582  0.948521721  0.316712084  0.000000000000000000 -31.628163411  19.279944020  31.628163411  0.000000474846776   105.257487 19.279944019521878 
    10     0.010000  0.000944213  0.000094618  0.948503688  0.316766086  0.000000000000056843 -31.628764723  20.958447585  31.628764723  0.000000475251657   105.167793 20.958447585010227 
    11     0.011000  0.001038831  0.000094654  0.948485640  0.316820125  0.000000000000000000 -31.629366593  22.743304219  31.629366593  0.000000475657100   105.078126 22.743304219194489 
    12     0.012000  0.001133485  0.000094690  0.948467574  0.316874202  0.000000000000000000 -31.629969023  24.637199157  31.629969023  0.000000476063107   104.988488 24.637199156985673 
    13     0.013000  0.001228174  0.000094726  0.948449493  0.316928318  0.000000000000000000 -31.630572012  26.642498111  31.630572012  0.000000476469679   104.898879 26.642498110826249 
    14     0.014000  0.001322900  0.000094761  0.948431396  0.316982471  0.000000000000000000 -31.631175563  28.761212614  31.631175563  0.000000476876816   104.809297 28.761212613775065 
    15     0.015000  0.001417661  0.000094797  0.948413283  0.317036662  0.000000000000000000 -31.631779676  30.994966489  31.631779676  0.000000477284520   104.719745 30.994966489357399 
    16     0.016000  0.001512459  0.000094833  0.948395153  0.317090892 -0.000000000000056843 -31.632384351  31.632384351  31.632384351  0.000000477692792   104.630220 31.632384350906609 
    17     0.017000  0.001607292  0.000094870  0.948377007  0.317145159  0.000000000000000000 -31.632989590  31.632989590  31.632989590  0.000000478101633   104.540725 31.632989589542142 
    18     0.018000  0.001702162  0.000094906  0.948358845  0.317199465  0.000000000000000000 -31.633595392  31.633595392  31.633595392  0.000000478511044   104.451257 31.633595392461164 
    19     0.019000  0.001797068  0.000094942  0.948340667  0.317253809  0.000000000000000000 -31.634201760  31.634201760  31.634201760  0.000000478921025   104.361819 31.634201760497039 
    20     0.020000  0.001892009  0.000094978  0.948322473  0.317308191  0.000000000000000000 -31.634808694  31.634808694  31.634808694  0.000000479331579   104.272408 31.634808694484782 
    21     0.021000  0.001986987  0.000095014  0.948304262  0.317362611  0.000000000000000000 -31.635416195  31.635416195  31.635416195  0.000000479742706   104.183027 31.635416195261090 
    22     0.022000  0.002082001  0.000095050  0.948286035  0.317417070  0.000000000000000000 -31.636024264  31.636024264  31.636024264  0.000000480154408   104.093674 31.636024263664329 
    23     0.023000  0.002177052  0.000095087  0.948267791  0.317471568  0.000000000000000000 -31.636632901  31.636632901  31.636632901  0.000000480566684   104.004349 31.636632900534543 
    24     0.024000  0.002272138  0.000095123  0.948249531  0.317526103  0.000000000000000000 -31.637242107  31.637242107  31.637242107  0.000000480979538   103.915053 31.637242106713476 
    25     0.025000  0.002367261  0.000095159  0.948231255  0.317580678  0.000000000000000000 -31.637851883  31.637851883  31.637851883  0.000000481392968   103.825785 31.637851883044544 
    26     0.026000  0.002462420  0.000095195  0.948212962  0.317635291  0.000000000000000000 -31.638462230  31.638462230  31.638462230  0.000000481806977   103.736547 31.638462230372863 
    27     0.027000  0.002557616  0.000095232  0.948194653  0.317689942  0.000000000000000000 -31.639073150  31.639073150  31.639073150  0.000000482221566   103.647336 31.639073149545247 
    28     0.028000  0.002652847  0.000095268  0.948176328  0.317744632  0.000000000000000000 -31.639684641  31.639684641  31.639684641  0.000000482636736   103.558155 31.639684641410216 
    29     0.029000  0.002748116  0.000095305  0.948157986  0.317799361  0.000000000000056843 -31.640296707  31.640296707  31.640296707  0.000000483052488   103.469002 31.640296706818006 
    30     0.030000  0.002843420  0.000095341  0.948139627  0.317854128  0.000000000000056843 -31.640909347  31.640909347  31.640909347  0.000000483468823   103.379877 31.640909346620521 
    31     0.031000  0.002938762  0.000095378  0.948121252  0.317908935  0.000000000000000000 -31.641522562  31.641522562  31.641522562  0.000000483885741   103.290781 31.641522561671408 
    32     0.032000  0.003034139  0.000095414  0.948102861  0.317963780  0.000000000000000000 -31.642136353  31.642136353  31.642136353  0.000000484303245   103.201714 31.642136352826068 
    33     0.033000  0.003129554  0.000095451  0.948084453  0.318018664  0.000000000000000000 -31.642750721  31.642750721  31.642750721  0.000000484721336   103.112676 31.642750720941578 
    34     0.034000  0.003225004  0.000095487  0.948066028  0.318073587  0.000000000000000000 -31.643365667  31.643365667  31.643365667  0.000000485140013   103.023666 31.643365666876758 
    35     0.035000  0.003320492  0.000095524  0.948047587  0.318128549  0.000000000000000000 -31.643981191  31.643981191  31.643981191  0.000000485559280   102.934685 31.643981191492159 
    36     0.036000  0.003416016  0.000095561  0.948029129  0.318183550  0.000000000000000000 -31.644597296  31.644597296  31.644597296  0.000000485979136   102.845733 31.644597295650065 
    37     0.037000  0.003511577  0.000095597  0.948010654  0.318238590  0.000000000000000000 -31.645213980  31.645213980  31.645213980  0.000000486399582   102.756810 31.645213980214521 
    38     0.038000  0.003607174  0.000095634  0.947992163  0.318293669  0.000000000000000000 -31.645831246  31.645831246  31.645831246  0.000000486820621   102.667915 31.645831246051287 
    39     0.039000  0.003702808  0.000095671  0.947973655  0.318348787  0.000000000000000000 -31.646449094  31.646449094  31.646449094  0.000000487242253   102.579049 31.646449094027901 
    40     0.040000  0.003798479  0.000095708  0.947955130  0.318403945  0.000000000000000000 -31.647067525  31.647067525  31.647067525  0.000000487664479   102.490211 31.647067525013636 
    41     0.041000  0.003894187  0.000095745  0.947936588  0.318459142 -0.000000000000056843 -31.647686540  31.647686540  31.647686540  0.000000488087300   102.401403 31.647686539879516 
    42     0.042000  0.003989932  0.000095782  0.947918030  0.318514378  0.000000000000000000 -31.648306139  31.648306139  31.648306139  0.000000488510717   102.312623 31.648306139498395 
    43     0.043000  0.004085713  0.000095818  0.947899455  0.318569653  0.000000000000000000 -31.648926325  31.648926325  31.648926325  0.000000488934732   102.223872 31.648926324744796 
    44     0.044000  0.004181532  0.000095855  0.947880863  0.318624968  0.000000000000000000 -31.649547096  31.649547096  31.649547096  0.000000489359346   102.135150 31.649547096495077 
