# DATA HISTOGRAM # TEARDROP L0.18 A28
   U-BINS       FC10	FC20	FC30	FC40	
"[0.0 - 0.1)"   1734	875	     748	748	
"[0.1 - 0.2)"	1120	791	     791	791	
"[0.2 -	0.3)"	809	    794	     794	794	
"[0.3 - 0.4)"	726	    710	     711	711	
"[0.4 - 0.5)"   741	    629	     629	629	
"[0.5 - 0.6)"	742	    629	     628	629	
"[0.6 - 0.7)"	726	    710	     711	711	
"[0.7 - 0.8)"   809	    794	     794	793	
"[0.8 - 0.9)"	1120	791	     791	792	
"[0.9 - 1.0]"	1734	876	     750	749	
# TOTAL	        10261	7599	 7347   7347 
